175	254+1530	0	100050	1	31480at6656_121225_0:0029ae|TCONS_00006679|+|148|4.523e-37|1|254|1783|254[254]:1783[1783]:1530[1530]
181	804+210	0	98550	1	137711at6656_7176_0:003daf|TCONS_00002498|+|61|7e-11|1|804|1013|804[804]:1013[1013]:210[210]
185	1002+510	0	45490	1	119012at6656_680683_0:000e55|TCONS_00012769|+|124|7.589e-30|1|1002|1511|1002[1002]:1511[1511]:510[510]
190	599+1473	0	3022	1	57932at6656_520822_0:001cb3|TCONS_00003940|+|147|9.047e-37|1|599|2071|599[599]:2071[2071]:1473[1473]
195	669+288	0	70008	1	135391at6656_30019_0:00022a|TCONS_00006766|+|62|3.5e-11|1|669|956|669[669]:956[956]:288[288]
196	325+906	0	116408	1	56523at6656_166361_0:001b69|TCONS_00011637|+|74|8.544e-15|1|325|1230|325[325]:1230[1230]:906[906]
201	169+1929	0	46028	1	39548at6656_7165_0:00091f|TCONS_00004028|+|1236|0|1|169|2097|169[169]:2097[2097]:1929[1929]
203	4490+759	0	112251	1	16648at6656_34638_0:000b2a|TCONS_00008324|+|55|4.48e-09|1|4490|5248|4490[4490]:5248[5248]:759[759]
204	81+657	0	120907	1	122526at6656_114398_0:00328d|TCONS_00005789|+|119|2.428e-28|1|81|737|81[81]:737[737]:657[657]
209	4756+1653	0	82722	1	47495at6656_7165_0:000984|TCONS_00012996|+|1110|0|1|4756|6408|4756[4756]:6408[6408]:1653[1653]
210	1155+507	0	87500	1	118496at6656_6850_0:002d4e|TCONS_00012783|+|69|2.734e-13|1|1155|1661|1155[1155]:1661[1661]:507[507]
211	1582+972	0	85259	1	97763at6656_218467_0:000e71|TCONS_00010112|+|91|6.519e-20|1|1582|2553|1582[1582]:2553[2553]:972[972]
216	251+183	0	27783	1	143626at6656_28612_0:000928|TCONS_00004121|+|47|1.147e-06|1|251|433|251[251]:433[433]:183[183]
217	229+432	0	54520	1	118496at6656_32264_0:000222|TCONS_00009414|+|46|2.294e-06|1|229|660|229[229]:660[660]:432[432]
220	3452+564	0	89858	1	119438at6656_133901_0:000aec|TCONS_00004140|+|84|8.344e-18|1|3452|4015|3452[3452]:4015[4015]:564[564]
224	14+1545	0	26693	1	30463at6656_121845_0:00070c|TCONS_00009769|+|291|4.057e-80|1|14|1558|14[14]:1558[1558]:1545[1545]
227	11+567	0	166591	1	143154at6656_7165_0:000a74|TCONS_00002762|+|392|1.6e-110|1|11|577|11[11]:577[577]:567[567]
228	212+336	0	166912	1	135123at6656_7227_0:001548|TCONS_00004178|+|123|1.518e-29|1|212|547|212[212]:547[547]:336[336]
229	902+639	0	47581	1	119438at6656_116153_0:00167e|TCONS_00010118|+|81|6.675e-17|1|902|1540|902[902]:1540[1540]:639[639]
233	4555+1962	0	144416	1	4864at6656_45779_0:0009cb|TCONS_00007793|+|111|6.217e-26|1|4555|6516|4555[4555]:6516[6516]:1962[1962]
